x, y, theta
1.272801578643445e+23, 6.392859105894171e+25, -5.263300753457626e+19
1.654642052236478e+23, 9.589288658841255e+25, -6.315960904149151e+19
2.151034667907422e+23, 1.246607525649363e+26, -7.579153084978981e+19
2.366138134698165e+23, 1.495929030779236e+26, -8.33706839347688e+19
2.602751948167981e+23, 1.64552193385716e+26, -8.33706839347688e+19
3.123302337801577e+23, 1.974626320628592e+26, -9.170775232824568e+19
3.747962805361892e+23, 2.369551584754309e+26, -9.170775232824568e+19
5.996740488579028e+23, 3.791282535606896e+26, -1.467324037251931e+20
6.596414537436933e+23, 4.549539042728274e+26, -1.467324037251931e+20
8.575338898668011e+23, 5.914400755546757e+26, -1.760788844702317e+20
1.114794056826842e+24, 7.688720982210786e+26, -2.112946613642781e+20
1.226273462509526e+24, 8.457593080431865e+26, -2.324241275007059e+20
1.471528155011431e+24, 1.014911169651824e+27, -2.78908953000847e+20
1.765833786013717e+24, 1.319384520547371e+27, -3.346907436010164e+20
2.11900054321646e+24, 1.583261424656845e+27, -3.681598179611181e+20
2.542800651859752e+24, 2.058239852053899e+27, -4.049757997572299e+20
2.797080717045728e+24, 2.264063837259289e+27, -4.049757997572299e+20
3.356496860454873e+24, 2.943282988437076e+27, -4.45473379732953e+20
4.699095604636822e+24, 4.120596183811906e+27, -5.345680556795435e+20
4.699095604636822e+24, 4.120596183811906e+27, -5.345680556795435e+20
5.638914725564186e+24, 4.944715420574287e+27, -5.88024861247498e+20
6.202806198120606e+24, 5.439186962631715e+27, -5.88024861247498e+20
6.823086817932668e+24, 5.983105658894888e+27, -5.88024861247498e+20
1.159924759048554e+25, 1.07695901860108e+28, -9.996422641207467e+20
1.275917234953409e+25, 1.184654920461188e+28, -9.996422641207467e+20
1.531100681944091e+25, 1.540051396599544e+28, -1.099606490532822e+21
1.837320818332909e+25, 2.002066815579408e+28, -1.319527788639386e+21
2.0210529001662e+25, 2.40248017869529e+28, -1.451480567503324e+21
2.0210529001662e+25, 2.642728196564819e+28, -1.451480567503324e+21
1.81894761014958e+25, 2.642728196564819e+28, -1.306332510752992e+21
1.81894761014958e+25, 2.642728196564819e+28, -1.175699259677693e+21
3.456000459284202e+25, 5.285456393129637e+28, -2.233828593387616e+21
4.147200551141042e+25, 6.342547671755566e+28, -2.457211452726378e+21
4.147200551141042e+25, 7.611057206106676e+28, -2.457211452726378e+21
4.97664066136925e+25, 9.133268647328013e+28, -2.948653743271654e+21
5.9719687936431e+25, 1.187324924152642e+29, -3.538384491925985e+21
5.37477191427879e+25, 1.187324924152642e+29, -3.184546042733386e+21
5.37477191427879e+25, 1.187324924152642e+29, -2.866091438460048e+21
5.912249105706669e+25, 1.306057416567906e+29, -3.152700582306053e+21
1.300694803255467e+26, 3.003932058106184e+29, -6.620671222842711e+21
1.430764283581014e+26, 3.604718469727421e+29, -7.282738345126983e+21
1.573840711939116e+26, 3.965190316700163e+29, -8.011012179639684e+21
1.888608854326939e+26, 4.758228380040195e+29, -8.812113397603651e+21
2.266330625192327e+26, 5.709874056048233e+29, -1.057453607712438e+22
2.719596750230792e+26, 7.422836272862702e+29, -1.268944329254926e+22
4.079395125346188e+26, 1.113425440929406e+30, -1.776522060956896e+22
4.487334637880807e+26, 1.224767985022346e+30, -1.954174267052585e+22
6.282268493033129e+26, 1.837151977533519e+30, -2.73584397387362e+22
5.654041643729816e+26, 1.837151977533519e+30, -2.462259576486257e+22
5.654041643729816e+26, 2.020867175286871e+30, -2.462259576486257e+22
9.046466629967707e+26, 3.233387480458994e+30, -3.693389364729387e+22
1.085575995596125e+27, 4.203403724596692e+30, -4.432067237675264e+22
1.628363993394187e+27, 6.305105586895039e+30, -6.204894132745369e+22
2.116873191412443e+27, 8.827147821653053e+30, -7.445872959294442e+22
2.540247829694932e+27, 1.147529216814897e+31, -8.93504755115333e+22
4.572446093450877e+27, 2.180305511948304e+31, -1.608308559207599e+23
4.572446093450877e+27, 2.398336063143135e+31, -1.608308559207599e+23
5.486935312141053e+27, 2.878003275771761e+31, -1.76913941512836e+23
7.13301590578337e+27, 4.317004913657644e+31, -2.299881239666867e+23
7.846317496361706e+27, 4.748705405023407e+31, -2.299881239666867e+23
1.33387397438149e+28, 8.547669729042132e+31, -3.909798107433675e+23
1.467261371819639e+28, 9.402436701946348e+31, -4.300777918177043e+23
1.760713646183567e+28, 1.222316771253025e+32, -5.160933501812451e+23
1.936785010801924e+28, 1.344548448378328e+32, -5.160933501812451e+23
2.130463511882117e+28, 1.613458138053993e+32, -5.677026851993697e+23
2.55655621425854e+28, 2.097495579470191e+32, -6.812432222392435e+23
2.812211835684394e+28, 2.30724513741721e+32, -6.812432222392435e+23
2.812211835684394e+28, 2.30724513741721e+32, -6.812432222392435e+23
4.218317753526591e+28, 3.691592219867537e+32, -1.021864833358865e+24
4.640149528879251e+28, 4.429910663841044e+32, -1.021864833358865e+24
1.160037382219813e+29, 1.107477665960261e+33, -2.554662083397163e+24
1.160037382219813e+29, 1.218225432556287e+33, -2.554662083397163e+24
1.392044858663775e+29, 1.461870519067545e+33, -3.065594500076596e+24
2.644885231461172e+29, 2.923741038135089e+33, -5.824629550145531e+24
3.173862277753407e+29, 3.800863349575616e+33, -6.989555460174635e+24
4.44340718885477e+29, 5.321208689405862e+33, -9.086422098227027e+24
5.332088626625723e+29, 6.385450427287034e+33, -9.995064308049731e+24
9.064550665263727e+29, 1.085526572638796e+34, -1.699160932368454e+25
8.158095598737356e+29, 9.769739153749162e+33, -1.529244839131609e+25
8.158095598737356e+29, 9.769739153749162e+33, -1.376320355218448e+25
8.158095598737356e+29, 9.769739153749162e+33, -1.238688319696603e+25
7.342286038863621e+29, 8.792765238374246e+33, -1.114819487726943e+25
8.076514642749983e+29, 1.055131828604909e+34, -1.226301436499638e+25
1.211477196412498e+30, 1.582697742907364e+34, -1.716822011099492e+25
1.453772635694997e+30, 1.899237291488837e+34, -1.888504212209441e+25
1.453772635694997e+30, 1.899237291488837e+34, -1.699653790988497e+25
1.744527162833996e+30, 2.469008478935488e+34, -2.039584549186197e+25
2.965696176817793e+30, 4.19731441419033e+34, -3.467293733616534e+25
3.558835412181352e+30, 5.036777297028395e+34, -4.160752480339841e+25
6.405903741926434e+30, 9.066199134651111e+34, -7.489354464611715e+25
7.687084490311722e+30, 1.087943896158133e+35, -8.238289911072886e+25
9.224501388374065e+30, 1.30553267538976e+35, -9.885947893287463e+25
1.014695152721147e+31, 1.436085942928736e+35, -9.885947893287463e+25
1.116164667993262e+31, 1.57969453722161e+35, -9.885947893287463e+25
1.562630535190566e+31, 2.369541805832414e+35, -1.384032705060245e+26
1.87515664222868e+31, 2.843450166998897e+35, -1.522435975566269e+26
2.062672306451548e+31, 3.127795183698787e+35, -1.674679573122897e+26
2.475206767741858e+31, 3.753354220438545e+35, -1.842147530435186e+26
2.970248121290229e+31, 4.504025064526253e+35, -2.026362283478705e+26
2.970248121290229e+31, 4.954427570978879e+35, -2.026362283478705e+26
2.673223309161207e+31, 6.936198599370428e+35, -1.823726055130835e+26
2.673223309161207e+31, 6.936198599370428e+35, -1.641353449617751e+26
4.811801956490172e+31, 1.248515747886677e+36, -2.790300864350177e+26
5.29298215213919e+31, 1.373367322675345e+36, -3.069330950785194e+26
5.82228036735311e+31, 1.648040787210414e+36, -3.376264045863714e+26
1.04801046612356e+32, 2.966473416978745e+36, -5.739648877968314e+26
1.04801046612356e+32, 2.966473416978745e+36, -5.739648877968314e+26
1.152811512735916e+32, 3.26312075867662e+36, -6.313613765765146e+26
1.383373815283099e+32, 4.568369062147268e+36, -7.576336518918173e+26
1.521711196811409e+32, 5.025205968361995e+36, -7.576336518918173e+26
1.978224555854832e+32, 7.035288355706792e+36, -9.849237474593627e+26
2.176047011440315e+32, 8.442346026848151e+36, -1.083416122205299e+27
2.393651712584346e+32, 1.09750498349026e+37, -1.083416122205299e+27
4.069207911393389e+32, 1.975508970282467e+37, -1.733465795528478e+27
4.883049493672067e+32, 2.370610764338961e+37, -1.733465795528478e+27
7.812879189875307e+32, 4.030038299376232e+37, -2.773545272845565e+27
8.594167108862839e+32, 4.433042129313857e+37, -2.773545272845565e+27
1.289125066329426e+33, 6.649563193970785e+37, -4.160317909268349e+27
1.546950079595311e+33, 8.644432152162022e+37, -4.992381491122019e+27
1.237560063676249e+33, 6.915545721729618e+37, -3.993905192897616e+27
1.485072076411499e+33, 8.298654866075541e+37, -4.393295712187378e+27
2.970144152822997e+33, 1.659730973215108e+38, -8.347261853156018e+27
8.316403627904391e+33, 4.647246725002304e+38, -2.337233318883684e+28
1.91277283441801e+34, 1.115339214000553e+39, -5.375636633432473e+28
2.104050117859811e+34, 1.226873135400608e+39, -5.375636633432473e+28
3.78729021214766e+34, 2.208371643721095e+39, -9.138582276835205e+28
6.817122381865787e+34, 3.975068958697971e+39, -1.644944809830337e+29
7.498834620052366e+34, 4.770082750437564e+39, -1.809439290813371e+29
1.049836846807331e+35, 7.155124125656346e+39, -2.533215007138719e+29
1.049836846807331e+35, 7.155124125656346e+39, -2.279893506424847e+29
2.729575801699062e+35, 1.86033227267065e+40, -5.927723116704602e+29
2.729575801699062e+35, 1.86033227267065e+40, -5.334950805034143e+29
2.183660641359249e+35, 1.48826581813652e+40, -4.267960644027314e+29
1.965294577223325e+35, 1.48826581813652e+40, -3.841164579624582e+29
1.965294577223325e+35, 1.48826581813652e+40, -3.457048121662125e+29
1.572235661778659e+35, 1.339439236322868e+40, -2.7656384973297e+29
2.35835349266799e+35, 2.009158854484302e+40, -4.14845774599455e+29
2.594188841934788e+35, 2.210074739932732e+40, -4.14845774599455e+29
4.410121031289141e+35, 3.757127057885644e+40, -6.637532393591281e+29
5.292145237546969e+35, 4.508552469462773e+40, -7.301285632950408e+29
6.87978880881106e+35, 5.861118210301604e+40, -8.76154275954049e+29
8.255746570573271e+35, 7.619453673392086e+40, -9.63769703549454e+29
9.906895884687927e+35, 9.905289775409713e+40, -1.156523644259345e+30
1.089758547315672e+36, 1.089581875295069e+41, -1.272176008685279e+30
1.198734402047239e+36, 1.307498250354082e+41, -1.399393609553807e+30
1.198734402047239e+36, 1.438248075389491e+41, -1.399393609553807e+30
1.798101603070859e+36, 2.157372113084236e+41, -1.95915105337533e+30
2.15772192368503e+36, 2.804583747009507e+41, -2.350981264050396e+30
1.941949731316527e+36, 2.524125372308556e+41, -2.115883137645357e+30
2.330339677579832e+36, 3.028950446770267e+41, -2.327471451409892e+30
2.796407613095799e+36, 3.634740536124321e+41, -2.560218596550882e+30
3.076048374405379e+36, 3.998214589736753e+41, -2.560218596550882e+30
3.383653211845917e+36, 4.398036048710429e+41, -2.560218596550882e+30
4.737114496584284e+36, 6.1572504681946e+41, -3.584306035171234e+30
5.68453739590114e+36, 7.38870056183352e+41, -3.942736638688358e+30
7.389898614671483e+36, 1.034418078656693e+42, -5.125557630294866e+30
6.650908753204335e+36, 9.309762707910233e+41, -4.100446104235893e+30
5.985817877883901e+36, 9.309762707910233e+41, -3.690401493812303e+30
1.137305396797941e+37, 1.768854914502944e+42, -6.642722688862148e+30
1.478497015837324e+37, 2.476396880304122e+42, -8.635539495520792e+30
2.956994031674648e+37, 4.952793760608244e+42, -1.727107899104158e+31
2.956994031674648e+37, 5.448073136669068e+42, -1.554397109193743e+31
3.252693434842113e+37, 6.537687764002882e+42, -1.709836820113117e+31
3.577962778326325e+37, 7.191456540403172e+42, -1.709836820113117e+31
3.935759056158957e+37, 7.91060219444349e+42, -1.880820502124428e+31
4.329334961774854e+37, 8.701662413887838e+42, -1.880820502124428e+31
4.329334961774854e+37, 8.701662413887838e+42, -1.692738451911986e+31
6.926935938839765e+37, 1.392265986222054e+43, -2.708381523059178e+31
1.039040390825965e+38, 2.088398979333081e+43, -4.062572284588767e+31
1.039040390825965e+38, 2.297238877266389e+43, -4.062572284588767e+31
1.454656547156351e+38, 3.216134428172946e+43, -5.281343969965397e+31
2.327450475450161e+38, 5.467428527894008e+43, -8.450150351944634e+31
2.560195522995177e+38, 6.014171380683409e+43, -8.450150351944634e+31
2.816215075294696e+38, 7.217005656820091e+43, -9.295165387139098e+31
3.942701105412573e+38, 1.082550848523014e+44, -1.301323154199474e+32
5.519781547577602e+38, 1.515571187932219e+44, -1.691720100459316e+32
6.623737857093122e+38, 1.970242544311884e+44, -2.030064120551179e+32
7.948485428511746e+38, 2.364291053174261e+44, -2.233070532606297e+32
9.538182514214093e+38, 2.837149263809114e+44, -2.679684639127556e+32
1.144581901705691e+39, 3.404579116570936e+44, -2.947653103040312e+32
1.37349828204683e+39, 4.085494939885122e+44, -3.242418413344343e+32
